Ｆ－１ 用電負載量,,,,,,,,,,,,,,
 ,,資料發行日期：2021/01/07,,,,,,,,,,,,
單位：萬KW,,,,,,,,,,,,,,
園區別,,年度,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
新竹科學園區,新竹園區 ,100年,99.49 ,99.66 ,102.87 ,103.94 ,107.38 ,108.68 ,108.78 ,109.56 ,108.61 ,104.35 ,103.56 ,103.56 
,,101年,98.06 ,98.81 ,101.47 ,106.74 ,107.58 ,109.10 ,110.33 ,110.35 ,106.95 ,106.61 ,99.62 ,97.92 
,,102年,98.37 ,98.76 ,100.40 ,118.80 ,123.71 ,125.76 ,125.69 ,124.71 ,123.57 ,126.14 ,120.73 ,116.47 
,,103年,112.37 ,113.82 ,119.36 ,120.22 ,126.86 ,128.12 ,130.41 ,129.96 ,130.83 ,123.56 ,124.97 ,116.46 
,,104年,119.60 ,121.77 ,124.80 ,123.14 ,129.40 ,133.95 ,133.40 ,132.68 ,131.44 ,129.23 ,125.96 ,120.92 
,,105年,120.76 ,119.69 ,124.23 ,129.14 ,130.64 ,140.60 ,137.17 ,137.16 ,135.92 ,131.56 ,138.52 ,120.92 
,,106年,130.24 ,120.37 ,135.35 ,124.92 ,132.67 ,144.51 ,141.95 ,138.57 ,135.50 ,134.24 ,127.95 ,131.38 
,,107年,126.65 ,120.27 ,130.63 ,133.88 ,134.01 ,133.67 ,133.71 ,135.76 ,135.69 ,128.13 ,131.15 ,130.95 
,,108年,131.09 ,125.20 ,131.09 ,132.56 ,133.99 ,134.83 ,134.33 ,135.78 ,135.87 ,134.62 ,137.67 ,115.00 
,,109年,115.00 ,111.90 ,116.92 ,115.92 ,124.37 ,128.55 ,132.29 ,131.71 ,132.17 ,125.75 ,124.26 ,
,竹南園區 ,100年,17.03 ,17.14 ,17.67 ,18.00 ,18.21 ,19.67 ,19.79 ,19.71 ,18.39 ,18.72 ,18.30 ,18.28 
,,101年,18.17 ,18.22 ,18.22 ,18.76 ,19.42 ,19.77 ,19.63 ,18.96 ,18.64 ,18.09 ,18.13 ,17.78 
,,102年,17.90 ,18.27 ,18.78 ,19.32 ,19.82 ,20.38 ,20.26 ,20.26 ,20.06 ,19.37 ,19.12 ,18.16 
