日期(年/月),單位,總發電量,總發電量_發電業,總發電量_發電業_抽蓄水力,總發電量_發電業_火力,總發電量_發電業_火力_燃煤,總發電量_發電業_火力_燃油,總發電量_發電業_火力_燃氣,總發電量_發電業_核能,總發電量_發電業_再生能源,總發電量_發電業_再生能源_慣常水力,總發電量_發電業_再生能源_地熱,總發電量_發電業_再生能源_太陽光電,總發電量_發電業_再生能源_風力,總發電量_自用發電設備,總發電量_自用發電設備_火力,總發電量_自用發電設備_火力_燃煤,總發電量_自用發電設備_火力_燃油,總發電量_自用發電設備_火力_燃氣,總發電量_自用發電設備_再生能源,總發電量_自用發電設備_再生能源_地熱,總發電量_自用發電設備_再生能源_太陽光電,總發電量_自用發電設備_再生能源_風力,總發電量_自用發電設備_再生能源_生質能,總發電量_自用發電設備_再生能源_廢棄物,總需要量,總需要量_總消費量,總需要量_總消費量_能源部門自用,總需要量_總消費量_能源部門自用_抽水用電,總需要量_總消費量_工業部門,總需要量_總消費量_運輸部門,總需要量_總消費量_農業部門,總需要量_總消費量_服務業部門,總需要量_總消費量_住宅部門,總需要量_線路損失,總需要量_統計差異,台電系統平均負載(千瓩),台電系統尖峰負載(千瓩)
08901,百萬度,11770.284,11770.284,293.392,7744.468,4933.27,1740.175,1071.023,3558.91,173.514,173.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11770.284,12583.944,1300.679,380.909,6504.933,35.377,161.245,2354.426,2227.285,628.508,-1442.167,15051,18932
08902,百萬度,10104.745,10104.745,295.06,6356.051,3672.914,1831.89,851.247,3164.412,289.222,289.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10104.745,11729.269,1129.555,328.218,6016.544,36.663,168.704,2164.665,2213.137,540.412,-2164.936,14122,18489
08903,百萬度,11817.609,11817.609,311.387,7974.022,4643.747,2089.825,1240.449,3125.995,406.206,406.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11817.609,13715.404,1208.114,308.217,7177.984,35.714,195.932,2510.601,2587.059,631.711,-2529.506,15649,19554
08904,百萬度,11813.758,11813.758,329.972,8500.499,5093.689,2049.694,1357.116,2640.143,343.144,343.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11813.758,13613.752,1213.12,335.206,7068.246,36.038,179.838,2544.924,2571.587,632.041,-2432.035,16247,21640
08905,百萬度,13407.175,13407.175,345.18,9539.204,5548.929,2569.571,1420.704,3092.071,430.72,430.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13407.175,14733.439,1339.389,364.869,7718.426,39.637,177.615,2892.824,2565.548,717.897,-2044.161,17747,24270
08906,百萬度,14154.573,14154.573,388.496,9687.205,5978.459,2358.89,1349.855,3607.578,471.294,471.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14154.573,15080.865,1414.08,385.443,7803.948,39.742,205.696,3025.527,2591.872,756.811,-1683.104,19594,25834
08907,百萬度,15140.618,15140.618,410.57,10616.761,6461.501,2499.574,1655.686,3637.515,475.771,475.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15140.618,16231.475,1559.993,418.499,7689.953,39.943,204.61,3327.329,3409.647,806.493,-1897.35,20082,25854
08908,百萬度,14707.509,14707.509,406.309,10325.043,6278.147,2563.598,1483.298,3486.883,489.275,489.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14707.509,16478.75,1508.721,430.042,7815.044,39.961,195.725,3317.643,3601.655,785.777,-2557.017,19451,25290
08909,百萬度,13442.536,13442.536,408.898,9633.82,6079.045,2073.616,1481.159,2920.725,479.093,479.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13442.536,16494.497,1497.457,429.668,7583.23,38.657,196.974,3444.062,3734.116,715.742,-3767.702,18697,24430
08910,百萬度,13973.329,13973.329,403.973,10209.251,6051.802,2347.467,1809.982,3040.837,319.268,319.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13973.329,16446.433,1502.24,468.696,7958.284,41.198,204.818,3348.629,3391.265,747.71,-3220.814,18377,24111
08911,百萬度,12309.268,12309.268,388.091,8753.71,5413.014,1901.207,1439.488,2768.453,399.015,399.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12309.268,15062.592,1435.842,420.66,7247.037,34.438,193.239,3083.896,3068.14,655.115,-3408.439,16551,21393
08912,百萬度,42199.381,11989.099,328.831,7917.543,5088.252,1408.957,1420.334,3459.268,283.457,283.457,0,0,0,30210.281,28399.387,22054.347,5265.263,1079.778,1810.894,0,0.12,1.383,306.866,1502.525,42199.381,14332.954,1367.083,377.09,7282.853,37.968,177.687,2885.395,2581.968,638.459,27227.967,16261,19841
09001,百萬度,10888.489,10887.55,299.714,6727.125,4295.656,1402.464,1029.004,3547.547,313.165,313.165,0,0,0,0.938,0,0,0,0,0.938,0,0.022,0.916,0,0,10888.489,13215.796,1357.636,372.694,6665.074,39.527,164.183,2596.053,2393.323,209.163,-2536.471,14269,19554
09002,百萬度,10844.113,10843.334,291.284,7302.204,4534.922,1530.489,1236.793,2890.002,359.844,359.844,0,0,0,0.779,0,0,0,0,0.779,0,0.022,0.757,0,0,10844.113,12941.509,1308.108,369.486,6599.19,34.98,178.645,2372.386,2448.201,322.696,-2420.091,15743,19795
09003,百萬度,12284.352,12283.699,361.124,8955.539,5315.069,1909.466,1731.004,2636.372,330.664,330.664,0,0,0,0.653,0,0,0,0,0.653,0,0.022,0.631,0,0,12284.352,14319.998,1359.914,433.387,7606.056,36.984,178.037,2613.201,2525.806,748.704,-2784.35,16175,20359
09004,百萬度,12459.775,12459.152,355.697,10068.078,6115.939,2137.467,1814.672,1604.992,430.384,430.384,0,0,0,0.623,0,0,0,0,0.623,0,0.022,0.601,0,0,12459.775,13815.432,1499.312,442.024,7215.347,37.693,178.225,2549.76,2335.096,1151.058,-2506.715,16585,21860
09005,百萬度,13734.219,13733.806,368.469,10315.173,6930.939,2058.241,1325.993,2517.029,533.135,533.135,0,0,0,0.413,0,0,0,0,0.413,0,0.022,0.391,0,0,13734.219,14672.09,1647.927,462.374,7328.112,39.478,183.569,2955.343,2517.66,2079.713,-3017.583,18507,23991
09006,百萬度,14341.832,14341.663,330.701,9875.196,6544.931,1610.15,1720.114,3498.702,637.064,637.064,0,0,0,0.169,0,0,0,0,0.169,0,0.022,0.147,0,0,14341.832,15492.888,1733.755,393.296,7643.545,40.861,191.246,3079.127,2804.354,1512.746,-2663.802,19536,25454
09007,百萬度,15381.285,15381.026,354.172,11133.64,6924.184,2219.096,1990.36,3272.826,620.388,620.388,0,0,0,0.258,0,0,0,0,0.258,0,0.022,0.236,0,0,15381.285,16967.848,1731.633,408.783,7843.377,43.77,198.2,3640.494,3510.374,1393.597,-2980.16,20319,26177
