,備轉容量(MW) - MODIFIED.csv - (+1),備轉容量(MW) - MODIFIED.csv - (+2),備轉容量(MW) - MODIFIED.csv - (+3),備轉容量(MW) - MODIFIED.csv - (+4),備轉容量(MW) - MODIFIED.csv - (+5),備轉容量(MW) - MODIFIED.csv - (+6),備轉容量(MW) - MODIFIED.csv - (+7)
2020-01-11,3091.0,3157.0,3412.0,3386.0,3005.0,3399.0,3160.0
2020-01-12,3157.0,3412.0,3386.0,3005.0,3399.0,3160.0,3334.0
2020-01-13,3412.0,3386.0,3005.0,3399.0,3160.0,3334.0,3183.0
2020-01-14,3386.0,3005.0,3399.0,3160.0,3334.0,3183.0,3259.0
2020-01-15,3005.0,3399.0,3160.0,3334.0,3183.0,3259.0,3887.0
2020-01-16,3399.0,3160.0,3334.0,3183.0,3259.0,3887.0,3344.0
2020-01-17,3160.0,3334.0,3183.0,3259.0,3887.0,3344.0,3483.0
2020-01-18,3334.0,3183.0,3259.0,3887.0,3344.0,3483.0,3551.0
2020-01-19,3183.0,3259.0,3887.0,3344.0,3483.0,3551.0,3528.0
2020-01-20,3259.0,3887.0,3344.0,3483.0,3551.0,3528.0,3704.0
2020-01-21,3887.0,3344.0,3483.0,3551.0,3528.0,3704.0,3653.0
2020-01-22,3344.0,3483.0,3551.0,3528.0,3704.0,3653.0,3304.0
2020-01-23,3483.0,3551.0,3528.0,3704.0,3653.0,3304.0,2991.0
2020-01-24,3551.0,3528.0,3704.0,3653.0,3304.0,2991.0,3361.0
2020-01-25,3528.0,3704.0,3653.0,3304.0,2991.0,3361.0,3890.0
2020-01-26,3704.0,3653.0,3304.0,2991.0,3361.0,3890.0,3247.0
2020-01-27,3653.0,3304.0,2991.0,3361.0,3890.0,3247.0,4088.0
2020-01-28,3304.0,2991.0,3361.0,3890.0,3247.0,4088.0,3302.0
2020-01-29,2991.0,3361.0,3890.0,3247.0,4088.0,3302.0,3643.0
2020-01-30,3361.0,3890.0,3247.0,4088.0,3302.0,3643.0,3347.0
2020-01-31,3890.0,3247.0,4088.0,3302.0,3643.0,3347.0,3767.0
2020-02-01,3247.0,4088.0,3302.0,3643.0,3347.0,3767.0,3660.0
2020-02-02,4088.0,3302.0,3643.0,3347.0,3767.0,3660.0,3084.0
2020-02-03,3302.0,3643.0,3347.0,3767.0,3660.0,3084.0,3146.0
2020-02-04,3643.0,3347.0,3767.0,3660.0,3084.0,3146.0,3219.0
2020-02-05,3347.0,3767.0,3660.0,3084.0,3146.0,3219.0,3348.0
2020-02-06,3767.0,3660.0,3084.0,3146.0,3219.0,3348.0,3246.0
2020-02-07,3660.0,3084.0,3146.0,3219.0,3348.0,3246.0,3123.0
2020-02-08,3084.0,3146.0,3219.0,3348.0,3246.0,3123.0,2996.0
2020-02-09,3146.0,3219.0,3348.0,3246.0,3123.0,2996.0,3985.0
2020-02-10,3219.0,3348.0,3246.0,3123.0,2996.0,3985.0,3744.0
2020-02-11,3348.0,3246.0,3123.0,2996.0,3985.0,3744.0,4249.0
2020-02-12,3246.0,3123.0,2996.0,3985.0,3744.0,4249.0,3564.0
2020-02-13,3123.0,2996.0,3985.0,3744.0,4249.0,3564.0,3132.0
2020-02-14,2996.0,3985.0,3744.0,4249.0,3564.0,3132.0,3138.0
2020-02-15,3985.0,3744.0,4249.0,3564.0,3132.0,3138.0,3674.0
2020-02-16,3744.0,4249.0,3564.0,3132.0,3138.0,3674.0,3739.0
2020-02-17,4249.0,3564.0,3132.0,3138.0,3674.0,3739.0,3010.0
2020-02-18,3564.0,3132.0,3138.0,3674.0,3739.0,3010.0,3124.0
2020-02-19,3132.0,3138.0,3674.0,3739.0,3010.0,3124.0,3167.0
2020-02-20,3138.0,3674.0,3739.0,3010.0,3124.0,3167.0,4253.0
2020-02-21,3674.0,3739.0,3010.0,3124.0,3167.0,4253.0,3286.0
2020-02-22,3739.0,3010.0,3124.0,3167.0,4253.0,3286.0,2806.0
2020-02-23,3010.0,3124.0,3167.0,4253.0,3286.0,2806.0,3321.0
2020-02-24,3124.0,3167.0,4253.0,3286.0,2806.0,3321.0,3295.0
2020-02-25,3167.0,4253.0,3286.0,2806.0,3321.0,3295.0,3106.0
2020-02-26,4253.0,3286.0,2806.0,3321.0,3295.0,3106.0,3758.0
2020-02-27,3286.0,2806.0,3321.0,3295.0,3106.0,3758.0,3518.0
2020-02-28,2806.0,3321.0,3295.0,3106.0,3758.0,3518.0,3179.0
2020-02-29,3321.0,3295.0,3106.0,3758.0,3518.0,3179.0,3712.0
2020-03-01,3295.0,3106.0,3758.0,3518.0,3179.0,3712.0,3379.0
